NodeID,PacketsSent,PacketsDropped,SendRate,EnqueueRatio,DropRatio,NodeType
354,87,23,10.9603,0.735632,0.264368,Normal
355,106,42,15.0371,0.603774,0.396226,Normal
356,118,54,17.1861,0.542373,0.457627,Normal
357,85,21,10.4429,0.752941,0.247059,Normal
358,75,11,10.9102,0.853333,0.146667,Normal
359,119,55,13.0044,0.537815,0.462185,Normal
360,120,56,17.7534,0.533333,0.466667,Normal
361,89,25,10.465,0.719101,0.280899,Normal
362,101,37,13.1908,0.633663,0.366337,Normal
363,168,104,18.4328,0.380952,0.619048,Normal
364,132,68,16.6829,0.484848,0.515152,Normal
365,111,47,13.3319,0.576577,0.423423,Normal
366,102,38,14.1505,0.627451,0.372549,Normal
367,92,28,12.1518,0.695652,0.304348,Normal
368,126,62,13.5591,0.507937,0.492063,Normal
369,96,32,11.2553,0.666667,0.333333,Normal
370,109,45,11.5172,0.587156,0.412844,Normal
371,134,70,14.4463,0.477612,0.522388,Normal
372,93,29,13.0671,0.688172,0.311828,Normal
373,130,66,16.1204,0.492308,0.507692,Normal
374,148,84,18.7571,0.432432,0.567568,Normal
375,130,66,13.5993,0.492308,0.507692,Normal
376,180,116,19.0991,0.355556,0.644444,Normal
377,131,67,13.9284,0.48855,0.51145,Normal
378,71,7,10.5252,0.901408,0.0985915,Normal
379,115,51,12.6327,0.556522,0.443478,Normal
380,135,71,14.6733,0.474074,0.525926,Normal
381,104,40,11.3729,0.615385,0.384615,Normal
382,152,88,15.8797,0.421053,0.578947,Normal
383,97,69,11.1174,0.28866,0.71134,Normal
384,108,44,11.739,0.592593,0.407407,Normal
385,73,9,10.4061,0.876712,0.123288,Normal
386,81,17,11.0829,0.790123,0.209877,Normal
387,123,59,12.8828,0.520325,0.479675,Normal
388,88,54,10.3991,0.386364,0.613636,Normal
389,98,34,11.2589,0.653061,0.346939,Normal
390,188,124,19.7693,0.340426,0.659574,Normal
391,91,27,13.0989,0.703297,0.296703,Normal
